id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:0006606	Irregular chondrocostal junctions	وصلات غضروفية ضلعية غير منتظمة	وصلات ضلعية غير منتظمة	تشير هذه الحالة إلى عدم انتظام السطح الذي يفصل بين الأضلاع والغضروف الضلعي، والذي ينبغي أن يكون سلسًا في الأحوال الطبيعية. هذا الغضروف يعمل على الربط بين الأضلاع وعظم القص.
HP:0006607	Precocious costochondral ossification	تكلس غضروفي سابق لأوانه	تصلب الغضروف مبكرًا	يشير إلى تصلب أو تعظم سابق لأوانه في المفاصل الموجودة بين الأضلاع والغضروف الضلعي، وهو ما قد يؤثر على تطور القفص الصدري.
HP:0006608	Midclavicular hypoplasia	نقص تنسج منتصف الترقوة	نمو غير مكتمل في منتصف العظمة الترقوية	تشير إلى ضعف أو نقص في نمو الجزء الأوسط من عظمة الترقوة.
HP:0006610	Wide intermamillary distance	مسافة بينية بين الثديين واسعة	المسافة بين الحلمتين واسعة	تعني أن المسافة بين الحلمتين أكبر من المعتاد.
HP:0006611	Decreased number of sternal ossification centers	نقص عدد مراكز تعظم القص	عدد أقل من العظام في القص	يشير إلى وجود عدد أقل من مراكز تعظم القص مقارنة بالعدد الطبيعي المرتبط بالعمر. يتكون القص في البداية من لوحات غضروفية تتعظم وتلتحم مع الأضلاع، ويتطور التعظم في مراحل عمرية محددة.
HP:0006615	Absent in utero rib ossification	غياب تعظم الأضلاع داخل الرحم	عدم تكون عظام الأضلاع قبل الولادة	يشير إلى عدم تكوين أو تمعدن الأضلاع خلال فترة الحمل.
HP:0006619	Anterior rib punctate calcifications	تكلسات نقطية في الأضلاع الأمامية	نقاط كالسيوم في الأضلاع	يشير إلى ترسب أملاح الكالسيوم في نقاط صغيرة ضمن الجزء الأمامي من الأضلاع.
HP:0006623	Costochondral joint sclerosis	تصلب المفاصل الضلعية الغضروفية	زيادة كثافة المفاصل الضلعية	يشير إلى زيادة غير طبيعية في كثافة النسيج في الوصلات الضلعية الغضروفية، مما قد يؤدي إلى تصلبها.
HP:6000447	Decreased CSF asialotransferrin to transferrin ratio	انخفاض نسبة اللاسيالوترانسفيرين إلى الترانسفيرين في السائل الدماغي الشوكي	انخفاض نسبة بروتين السائل الشوكي	تركز اللاسيالوترانسفيرين بالنسبة إلى الترانسفيرين في السائل الدماغي الشوكي يكون أقل من الحد الأدنى الطبيعي.
HP:6000448	Anti-desmocollin antibody positivity	إيجابية الأجسام المضادة للدسموكولين	وجود أجسام مضادة للجسم	وجود الأجسام المضادة الذاتية (الغلوبيولينات المناعية) في المصل التي تتفاعل ضد الدسموكولين.
HP:6000449	Occupational exposure to raw nonsynthetic textiles	التعرض المهني للمنسوجات الطبيعية الخام	التعرض للغبار الصناعي	تاريخ من التعرض لاستنشاق الجزيئات الجوية المتولدة أثناء معالجة الألياف الطبيعية غير المصنعة، ولا سيما القطن. عادةً ما يؤدي التعرض لغبار القطن أثناء عملية الغزل والتصنيع إلى الإصابة بمرض البيسيني. ومع ذلك، فإن التعرض لألياف الجوت والكتان والقنب أيضًا قد أُحل في تطوره.
HP:6000450	Rokitansky-Aschoff gallbladder sinuses	جيوب روكتانسكي-أشوف في المرارة	جيوب في المرارة	تكاثر موضعي أو منتشر للخلايا البشروية مع تضخم الطبقة العضلية وانغماس المخاطية عبر العضلات، مشكلًا جيوب داخل الجدار (أي، جيوب صغيرة بارزة في جدار المرارة).
HP:6000451	Porcelain gallbladder	المرارة الخزفية	تكلس جدار المرارة	يشير مصطلح المرارة الخزفية إلى الحالة التي يتراكم فيها الكالسيوم في جدار المرارة الداخلي. يصبح الجدار هشًا وصلبًا وغالبًا ما يكتسب لونًا أزرق. عادةً ما يُكتشف حالة المرارة الخزفية عرضيًا عن طريق الأشعة السينية للبطن أو صور أخرى، حيث أن معظم المرضى يكونون بدون أعراض.
HP:6000452	Gallbladder adhesions	التصاقات المرارة	التصاقات في البطن	تشكل أربطة من الأنسجة الندبية التي تؤدي إلى اتصال غير طبيعي بين المرارة وهيكل بطني آخر. يمكن أن تتشكل الالتصاقات بعد التهاب المرارة (التهاب المرارة).
HP:6000453	Bilioduodenal fistula	ناسور بين القناة الصفراوية والاثني عشر	اتصال غير طبيعي بين المرارة والاثني عشر	اتصال غير طبيعي بين المرارة والاثني عشر.
HP:6000454	Pneumobilia	هواء في القنوات الصفراوية	هواء في الكبد	تجمع الغاز في الشجرة الصفراوية.
HP:6000455	Ectopic gallstone	الحصى المرارية المنتبذة	حصى خارج المرارة	حصى مرارية تقع خارج المرارة.
HP:6000456	Sleep drunkeness	"نظرًا لحداثة المصطلح، مصطلح ""سكر النوم"" يُستخدم هنا كتعبير تقني"	صعوبة الاستيقاظ	سكر النوم يشير إلى الصعوبة المطولة والواضحة في الاستيقاظ من النوم الليلي والغفوات النهارية. يجب التمييز بين هذا العرض والحالة الأكثر اعتدالًا والفسيولوجية المعروفة بالكسل بعد الاستيقاظ التي تظهر حتى في البشر الأصحاء.
HP:6000457	Mallory bodies	أجسام مالوري	أجسام المالوري	تشكلات هَيَالينية في السيتوبلازم داخل خلايا الكبد، تتكون بشكل رئيسي من خيوط بقطر يتراوح بين 3 إلى 24 نانومتر. يمكن تصنيف أجسام مالوري-دينك إلى نوع I (خيوط متوازية)، النوع II (خيوط عشوائية الاتجاه)، أو النوع III (حبيبي وغير محدد الشكل). يحدث النوع II في المحيط بينما يحدث النوع III حول المركز. تظهر أجسام مالوري-دينك في خلايا الكبد المتضخمة.
HP:6000458	Sulfur-containing abscess	خرّاج يحتوي على الكبريت	خرّاج بالكبريت	خراج يحتوي على كتل صغيرة صفراء (حبيبات كبريت)، يتكون عند حدوث عدوى بواسطة البكتيريا العقدية ويصاحبها عادةً التهاب حبيبي ومدمي.
HP:6000459	Retracted tympanic membrane	الغطاء الطبلي المرتجع	الغطاء الطبلي المسحوب إلى الداخل	حالة يكون فيها جزء من الغشاء الطبلي مسحوبًا إلى داخل تجويف الأذن الوسطى (المعروفة أيضًا بجيب الارتجاع).
HP:6000460	Ectopic testis	خصية خارج مكانها الطبيعي	خصية في مكان غير كيس الصفن	تموضع الخصية في موقع تشريحي غير كيس الصفن.
HP:6000461	Cerebral subcortical cyst	كيسة دماغية تحت القشر	كيس تحت قشرة الدماغ	كيس مملوء بالسوائل في المنطقة تحت القشرة من المخ. في التصوير بالرنين المغناطيسي، يظهر السائل داخل الكيس بنفس مظهر السائل النخاعي.
HP:6000462	Anti-ADAMTS13 antibody positivity	إيجابية الأجسام المضادة للإنزيم المعدني ADAMTS13	أجسام مضادة ضد إنزيم ADAMTS13	وجود الأجسام المضادة الذاتية (الغلوبولينات المناعية) في الدورة الدموية التي تتفاعل ضد إنزيم معدني مع بروتينات مثل 1، عضوة 13 (ADAMTS13).
HP:6000463	Habitual mouth breathing	التنفس الفمي المعتاد	التنفس عبر الفم	ميل للتنفس عبر الفم، يُعرّف بأن يكون أكثر من 25-30 بالمئة من الهواء يمر عبر الفم بدلاً من الأنف، وغالبًا ما يحدث التنفس الفمي نتيجة انسداد في مجرى الهواء العلوي مما يقلل تدفق الهواء عبر الأنف ويجبر الهواء على الدخول كليًا أو جزئيًا عبر الفم.
HP:6000464	Squared off shoulders	الكتفين المربعتين	الكتف المربع الشكل	مظهر للكتفين حيث تكون زاوية الرقبة-الترابيزيوس (الزاوية بين الرقبة والكتف) وزاوية التي تتشكل بين الكتف والذراعين المتدليين على جانب الجسم قريبة من 90 درجة، مما يعطي الكتف مظهر زاوية المربع.
HP:6000465	Elevated urine mesaconic acid level	مستوى مرتفع لحمض الميساكونيك في البول	زيادة حمض الميساكونيك في البول	كمية حمض الميساكونيك في البول، بالنسبة لتركيز البول، تكون أعلى من الحد العلوي للمستوى الطبيعي.
HP:6000466	Elevated urine 3-methyladipic acid level	مستوى مرتفع لحمض 3-ميثيلا ديبيك في البول	زيادة حمض 3-ميثيلا ديبيك في البول	كمية حمض 3-ميثيلا ديبيك في البول، بالنسبة لتركيز البول، تكون أعلى من الحد العلوي للمستوى الطبيعي.
HP:0006625	Multifocal breast carcinoma	سرطان الثدي متعدد البؤر	سرطان الثدي في أكثر من موقع	سرطان الثدي الذي يظهر في كلا الثديين أو في مواقع متعددة.
HP:0006628	Absent sternal ossification	غياب تعظم القص	غياب تكوين العظم في القص	غياب تشكيل النسيج العظمي المعدني في عظم القص.
HP:0006631	Hypoplastic distal segments of scapulae	نقص تنسج الأجزاء البعيدة من لوح الكتف	تطور غير مكتمل للأجزاء الخارجية من لوح الكتف	نقص تطور أو صغر في الأقسام النهائية للوح الكتف.
HP:0006633	Glenoid fossa hypoplasia	نقص تنسج الحفرة العنابية	تطور غير مكتمل للحفرة العنابية	نقص تنمية الحفرة العنابية، وهي التجويف في الجزء الجانبي من لوح الكتف الذي يتصل برأس العضد.
HP:0006634	Osteosclerosis of ribs	تصلب العظام في الأضلاع	زيادة كثافة العظام في الأضلاع	تصلب العظام في الأضلاع (زيادة في الكثافة مرتبطة بزيادة الكتلة العظمية).
HP:0006637	Sternal punctate calcifications	تكلسات نقطية في القص	تكلسات نقطية في القص	مناطق تكلس صغيرة ومحددة في القص.
HP:0006638	Midclavicular aplasia	نقص تنسج في منتصف الترقوة	غياب الجزء الأوسط من الترقوة	عيب تطوري يسبب غياب خلقي للجزء الأوسط من الترقوة.
HP:0006640	Multiple rib fractures	كسور متعددة في الأضلاع	كسور متعددة في الأضلاع	وجود أكثر من كسر في الأضلاع. يمكن أن يسبب تكوين النُّدب حول الكسور المتعددة في الأضلاع ظهور انتفاخات دائرية (نتوءات شبيهة بالخرز) مما يؤدي إلى مظهر الأضلاع الحبات.
HP:0006641	Prominent floating ribs	بروز الأضلاع العائمة	بروز في الأضلاع العائمة	بروز واضح في الأضلاع العائمة.
HP:0006642	Large sternal ossification centers	مراكز تعظم القص الكبيرة	مراكز تعظم كبيرة في القص	وجود مراكز تعظم كبيرة في الجزء الأوسط من القص.
HP:6000477	Elevated urine 2-trans,4-cis-decadienoylcarnitine level	ارتفاع مستوى 2-ترانس، 4-سيس-ديكادايينويلكارنيتين في البول	زيادة مركب في البول	كمية 2-ترانس، 4-سيس-ديكادايينويلكارنيتين في البول، بعد تطبيعها لتركيز البول، تكون فوق الحد الأعلى للمعدل الطبيعي.
HP:6000478	Elevated circulating 2-trans,4-cis-decadienoylcarnitine concentration	ارتفاع تركيز 2-ترانس، 4-سيس-ديكادايينويلكارنيتين في الدوران الدموي	زيادة مركب في الدم	تركيز 2-ترانس، 4-سيس-ديكادايينويلكارنيتين في الدورة الدموية يكون أعلى من الحد الأعلى للمعدل الطبيعي.
HP:6000479	Elevated urine N-acetyltyrosine level	ارتفاع مستوى إن-أسيتيلتيروسين في البول	زيادة في مركب البول	كمية إن-أسيتيلتيروسين في البول، بعد تطبيعها لتركيز البول، تكون فوق الحد الأعلى للمعدل الطبيعي.
HP:6000480	Elevated urine manganese level	ارتفاع مستوى المنغنيز في البول	زيادة منغنيز في البول	كمية المنغنيز في البول، بعد تطبيعها لتركيز البول، تكون فوق الحد الأعلى للمعدل الطبيعي.
HP:6000481	Reduced urinary manganese level	انخفاض مستوى المنغنيز في البول	نقص منغنيز في البول	كمية المنغنيز في البول، بعد تطبيعها لتركيز البول، تكون تحت الحد الأدنى للمعدل الطبيعي.
HP:6000482	Decreased circulating catecholamine concentration	انخفاض تركيز الكاتيكولامينات في الدوران الدموي	نقص كاتيكولامين في الدم	تركيز الكاتيكولامين في الدورة الدموية يكون أقل من الحد الأدنى للمعدل الطبيعي.
HP:6000483	Empty sella turcica	السلا الفارغة	السلا الفارغة	يُعرف السلا الفارغة أو الأرشنويدوسيل بأنها الفتق لمساحة تحت الأرشنويد داخل السلا التركية، مصاحب باستطالة ساق الغدة النخامية وانبساط الغدة النخامية.
HP:6000484	Elevated brain guanidinoacetate level by MRS	ارتفاع مستوى جوانيدينوأسيتات في الدماغ بواسطة التصوير بالرنين المغناطيسي الطيفي	زيادة مركب في الدماغ	زيادة في مستوى جوانيدينوأسيتات في الدماغ تم تحديدها بواسطة التصوير بالرنين المغناطيسي الطيفي (MRS).
HP:6000485	Elevated circulating beta chorionic gonadotropin concentration	ارتفاع تركيز بيتا كوريونيك جونادوتروبين في الدوران الدموي	زيادة هرمون في الدم	تركيز بيتا كوريونيك جونادوتروبين في الدورة الدموية يكون أعلى من الحد الأعلى للمعدل الطبيعي.
HP:6000486	Elevated circulating CXCL10 concentration	ارتفاع تركيز CXCL10 في الدوران الدموي	زيادة بروتين في الدم	تركيز كيموكين CXCL10 في الدورة الدموية يكون أعلى من الحد الأعلى للمعدل الطبيعي.
HP:6000487	Reduced circulating interleukin 12 concentration	انخفاض تركيز إنترلوكين 12 في الدورة الدموية	انخفاض إنترلوكين 12 في الدم	تركيز الإنترلوكين 12 (IL-12) في الدورة الدموية أقل من الحد الأدنى للطبيعي.
HP:6000488	Reduced circulating fibroblast growth factor 23 concentration	انخفاض تركيز عامل نمو الأرومة الليفية 23 في الدورة الدموية	انخفاض هرمون FGF23 في الدم	تركيز عامل نمو الأرومة الليفية 23 في الدورة الدموية أقل من الحد الأدنى للطبيعي.
HP:6000489	Abnormal circulating fibroblast growth factor 23 concentration	تركيز غير طبيعي لعامل نمو الأرومة الليفية 23 في الدورة الدموية	تغير تركيز FGF23 في الدم	تركيز عامل نمو الأرومة الليفية 23 في الدورة الدموية خارج حدود المعدل الطبيعي.
HP:0100841	Microgastria	صغر المعدة	حجم المعدة صغير	خلل تطوري يتميز بوجود معدة أنبوبية أو كيسية صغيرة في المنتصف.
HP:0100842	Septo-optic dysplasia	خلل التنسج الحاجزي البصري	خلل في العصب البصري والحاجز الشفاف	نقص في تطور العصب البصري وغياب الحاجز الشفاف.
HP:0100844	Pancreatic fistula	ناسور البنكرياس	فتحة غير طبيعية في البنكرياس	ذلك الحالة التي يكون فيها هناك اتصال غير طبيعي بين البنكرياس والأعضاء الأخرى.
HP:0100845	Anaphylactic shock	صدمة الحساسية المفرطة	صدمة تحسسية	تفاعل تحسسي حاد نتيجة التعرض لمستضد تم مواجهةه مسبقًا.
HP:0100847	Palmoplantar pustulosis	بثرية راحي أخمصي	بثور في اليدين والقدمين	طفح بثري مزمن ومتكرر يتمركز في الأيدي والأقدام.
HP:0100848	Neoplasm of the male external genitalia	ورم في الأعضاء التناسلية الذكرية الخارجية	ورم في الأعضاء الذكرية الخارجية	ورم (نمو غير طبيعي للأنسجة) في الأعضاء التناسلية الذكرية الخارجية.
HP:0100849	Neoplasm of the scrotum	ورم في الصفن	ورم في كيس الصفن	ورم (نمو غير طبيعي للأنسجة) في كيس الصفن.
HP:0006643	Fused sternal ossification centers	التحام مراكز تعظم القص	التصاق في عظم الصدر	التحام مراكز تعظم عظم القص، مما يؤدي إلى اتصال غير طبيعي بين أجزاء العظم.
HP:0006644	Thoracic dysplasia	خلل التنسج الصدري	تشوه في القفص الصدري	تطور غير طبيعي في شكل أو حجم القفص الصدري.
HP:0006645	Thin clavicles	ترقق الترقوة	عظام الترقوة الرقيقة	انخفاض غير طبيعي في قطر أو سمك عظام الترقوة.
HP:0006646	Costal cartilage calcification	تكلس الغضروف الضلعي	تصلب في غباريف الأضلاع	تكلس الغضاريف الضلعية وهي الغضاريف الموجودة في الطرف الأمامي للأضلاع والتي تساعد في تمديد الأضلاع للأمام وتساهم في مرونة جدران الصدر.
HP:0006647	Congenital microthorax	صغر الخلق الصدري	صدر صغير عند الولادة	صغر حجم التجويف الصدري عند الولادة.
HP:0006649	Costochondral pain	ألم الغضاريف الضلعية	ألم في الصدر	ألم في جدار الصدر في منطقة تقاطع الغضاريف الضلعية.
HP:0006650	Thickening of the lateral border of the scapula	تثخن الحافة الجانبية للكتف	زيادة سمك طرف الكتف	زيادة سمك الحافة الجانبية لعظم الكتف، مما قد يؤثر على شكل الكتف.
HP:0006655	Rib segmentation abnormalities	شذوذات في تقسيم الضلوع	تشوه تقسيم الضلوع	تشوهات في تقسيم أو هيكلة الأضلاع، مما يؤثر على انتظام شكل القفص الصدري.
HP:0006657	Hypoplasia of first ribs	نقص التنسج في الضلوع الأولى	عدم تطور الضلع الأول	نقص في نمو أو تطور الضلوع الأولى من القفص الصدري، مما يؤثر على حجمها ووظيفتها.
HP:0006659	Internally rotated shoulders	تدوير داخلي للأكتاف	التفاف الكتف للداخل	توجه غير طبيعي للأكتاف نحو الداخل، مما قد يؤثر على وضعية الجسم والحركة.
HP:6000467	Elevated urine D-lactate level	ارتفاع مستوى D-لاكتيت في البول	زيادة D-لاكتيت في البول	كمية D-لاكتيت في البول، بعد تعديلها لتركيز البول، تكون فوق الحد الأعلى الطبيعي. L-لاكتيت هو جزيء مألوف للجسم البشري ويتم إنتاجه بكميات كبيرة في الأنسجة البشرية بناءً على الظروف الأيضية. بالمقابل، يتم إنتاج D-لاكتيت بكميات صغيرة جدًا في الأنسجة البشرية، ولا يتم اكتشافه في مجرى الدم في الظروف الفسيولوجية الطبيعية.
HP:6000468	Elevated CSF alpha-ketoglutarate concentration	ارتفاع تركيز ألفا-كيتوغلوتارات في السائل النخاعي	زيادة ألفا-كيتوغلوتارات في السائل النخاعي	تركيز ألفا-كيتوغلوتارات في السوائل النخاعية فوق الحد الأعلى الطبيعي.
HP:6000469	Elevated urine 2,3-dihydroxy-2-methylbutanoic acid level	ارتفاع مستوى حمض 2،3-ديهيدروكسي-2-ميثيلبوتانويك في البول	زيادة حمض بوتانويك في البول	كمية حمض 2،3-ديهيدروكسي-2-ميثيلبوتانويك في البول، بعد تعديلها لتركيز البول، تكون فوق الحد الأعلى الطبيعي.
HP:6000470	Fetal oral mass	كتلة فموية جنينية	انتفاخ فم الجنين	تضخم أو انتفاخ موجود في تجويف الفم للجنين. يستخدم مصطلح الكتلة عادة في مرحلة مبكرة من تقييم الحالة قبل تحديد الطبيعة الدقيقة للتضخم. يُلاحظ هذا الاكتشاف عامةً لأول مرة من خلال تصوير الأمواج فوق الصوتية قبل الولادة أو التصوير بالرنين المغناطيسي.
HP:6000471	Dilated ejaculatory duct	توسع القناة القاذفة	اتساع القناة القاذفة	زيادة في قطر القناة القاذفة. تقوم القناة القاذفة بإيصال الحيوانات المنوية إلى الإحليل، مضيفة الإفرازات من البروستاتا، وتتكون من اتحاد القناة الناقلة مع قناة الحويصلة المنوية.
HP:6000472	Decreased Wiskott-Aldrich syndrome protein concentration in hematopoietic cells	انخفاض تركيز بروتين فائق النقصان لدى مرضى ويسكوت-ألدريتش في الخلايا المكونة للدم	قلة بروتين ويسكوت-ألدريتش في خلايا الدم	تركيز بروتين متلازمة ويسكوت-ألدريتش في الخلايا المكونة للدم يكون تحت الحد الأدنى الطبيعي. يتم قياس هذه السمة بواسطة التنميط بالتدفق أو النشاف الغربي.
HP:6000473	Decreased FOXP3-expressing T cell count	انخفاض عدد خلايا T المعبرة عن FOXP3	نقص خلايا T المعبرة عن FOXP3	عدد الخلايا التائية في الدم المحيطي التي تعبر عن FOXP3 يكون أقل من الحد الأدنى الطبيعي. يتم تحديد هذا الاكتشاف بواسطة التنميط بالتدفق.
HP:6000474	Elevated circulating complement component concentration	ارتفاع تركيز مكونات المتممات في الدم	زيادة مكونات المتممات في الدم	تركيز مكون من مكونات المتممات في الدورة الدموية يكون فوق الحد الأعلى الطبيعي.
HP:6000475	Anti-beta fodrin antibody positivity	إيجابية الأجسام المضادة ضد بيتا فودرين	وجود أجسام مضادة لبيتا فودرين	وجود أجسام مضادة ذاتية (غلوبينات مناعية) في الدورة الدموية التي تتفاعل ضد مكون من بيتا-فودرين.
HP:6000476	Elevated circulating tetradecenoylcarnitine concentration	ارتفاع تركيز التيتراديكينويلكارنيتين في الدورة الدموية	زيادة تيتراديكينويلكارنيتين في الدم	تركيز التيتراديكينويلكارنيتين (C14:1) في الدورة الدموية يكون فوق الحد الأعلى الطبيعي.
HP:0100850	Neoplasm of the penis	ورم في القضيب	ورم القضيب	ورم (نمو غير طبيعي للأنسجة) يحدث في القضيب.
HP:0100851	Abnormal emotional state	الحالة العاطفية غير الطبيعية	حالة عاطفية مضطربة	اضطراب في تجربة أو تعبير المشاعر، يتميز بوجود تغيرات في الإيجابية أو الشدة أو التكرار أو المدة. قد يشمل أيضًا استجابات عاطفية غير متوافقة أو مبالغ فيها مقارنة بالتوقعات الداخلية أو المثيرات الخارجية، مثل الشعور بالعواطف السلبية حيال أحداث محايدة أو إيجابية.
HP:0100852	Abnormal fear-induced behavior	سلوك غير طبيعي ناجم عن الخوف	سلوك غير طبيعي بسبب الخوف	يشمل السلوك غير الطبيعي الناجم عن الخوف أفعالًا يمكن ملاحظتها. يتميز هذا السلوك باستجابات غير طبيعية للخوف أو مستويات خوف غير طبيعية. من أمثلة هذا السلوك تجنب المواقف المثيرة للخوف.
HP:0100853	Hypoplastic areola	نقص نمو الهالة	نقص نمو الهالة	نقص في نمو الهالة، وهي المنطقة الدائرية من الجلد المصبوغ المحيطة بالحلمة.
HP:0100854	Aplasia of the musculature	غياب العضلات	غياب العضلات	غياب العضلات.
HP:0100855	Triceps hypoplasia	نقص تنسج العضلة ثلاثية الرؤوس	صغر حجم العضلة ثلاثية الرؤوس	نقص تنسج عضلة ثلاثية الرؤوس.
HP:0100856	Poorly ossified vertebrae	فقرة ضعيفة التكلس	فقرة غير مُكلسة بشكل جيد	نقص تكلس أجسام الفقرات.
HP:0100857	Flat sella turcica	التجويف التركي المسطح	تجويف تركي مسطح	تجويف تركي ذو شكل مسطح بشكل غير طبيعي.
HP:0100858	Dilatation of celiac artery	تمدد الشريان البطني الزلاقي	تمدد الشريان الزلاقي	انتفاخ غير طبيعي أو توسع يشبه الكيس في جدار الشريان الزلاقي.
HP:0100859	Dilatation of superior mesenteric artery	تمدد الشريان البطني المساريقي العلوي	تمدد الشريان المساريقي العلوي	انتفاخ غير طبيعي أو توسع يشبه الكيس في جدار الشريان المساريقي العلوي.
HP:0006683	Abnormal ventricular filling	خلل في امتلاء البطين	خلل في امتلاء البطين	خلل في امتلاء البطين بالدم خلال فترة الانبساط.
HP:0006684	Ventricular preexcitation with multiple accessory pathways	استباق بطيني مع مسارات إضافية متعددة	ارتجاف قلبي	شكل من الاستباق البطيني يحدث بسبب وجود مسارات إضافية متعددة للتوصيل القلبي.
HP:0006685	Endocardial fibrosis	تليف بطانة القلب	تليف بطانة القلب	وجود كمية زائدة من النسيج الضام في بطانة القلب.
HP:0006687	Aortic tortuosity	التواء الشريان الأبهر	التواء الأبهر	شكل ملتوي غير طبيعي للشريان الأبهر.
HP:0006688	Paroxysmal tachycardia	تسارع دقات القلب الانتيابي	تسارع مفاجئ في ضربات القلب	تسارع مفاجئ في دقات القلب يحدث بشكل متقطع.
HP:0006689	Bacterial endocarditis	التهاب الشغاف الجرثومي	عدوى جرثومية في القلب	عدوى بكتيرية تصيب الشغاف، وهي الطبقة الداخلية من القلب، والتي تشمل عادةً صمامات القلب.
HP:0006690	Myocardial calcification	تكلس عضلة القلب	ترسب الكالسيوم في القلب	ترسب الكالسيوم في عضلة القلب.
HP:0006691	Pulmonic valve myxoma	ورم مخاطي في الصمام الرئوي	ورم حميد في الصمام الرئوي	ورم حميد من النسيج الضام يحتوي على مادة مخاطية أو جلاتينية (ورم مخاطي) متمركز في الصمام الرئوي.
HP:0006692	Short chordae tendineae of the tricuspid valve	قصور الحبال الوترية للصمام ثلاثي الشرفات	حبال وترية قصيرة في الصمام ثلاثي الشرفات	قصر غير طبيعي في الحبال الوترية للصمام ثلاثي الشرفات.
HP:0006693	Myocardial steatosis	تنكس دهني في عضلة القلب	دهون في القلب	وجود كميات من الدهون في عضلة القلب.
HP:0006660	Aplastic clavicle	تكوين غير طبيعي للترقوة	غياب عظمة الترقوة	غياب الترقوة كعيب في النمو.
HP:0006665	Coat hanger sign of ribs	علامة علاقة المعطف على الأضلاع	اختلال شكل الأضلاع	تشوه غير طبيعي للأضلاع يتكون من أضلاع قصيرة ومنحنية بشكل غير طبيعي. وعند تصوير الصدر بالأشعة من الأمام للخلف، تظهر الأضلاع بانحناء يشبه علاقة المعطف.
HP:0006668	Twelfth rib hypoplasia	نقص تنسج الضلع الثاني عشر	ضلع ثاني عشر صغير	نقص في نمو الضلع الثاني عشر، حيث يكون حجمه أقل من الطبيعي.
HP:0006670	Impaired myocardial contractility	ضعف في تقلص العضلة القلبية	ضعف انقباض القلب	ضعف في قدرة العضلة القلبية على الانقباض بشكل طبيعي.
HP:0006671	Paroxysmal atrial tachycardia	تسرع القلب الأذيني الانتيابي	زيادة مفاجئة في ضربات القلب	حالة تسرع في نبضات قلب الأذينات تحدث بشكل مفاجئ ولفترة قصيرة.
HP:0006673	Reduced systolic function	ضعف الوظيفة الانقباضية	ضعف في انقباض القلب	ضعف القدرة الانقباضية للقلب مما يؤثر على كفاءة ضخ الدم.
HP:0006677	Prolonged QRS complex	استطالة مركب QRS	توسّع مركب QRS في القلب	زيادة الوقت اللازم لمركب QRS الذي يتألف من موجات Q و R و S كما يقاس بجهاز مخطط كهربية القلب (EKG). في البالغين، تتراوح القيم الطبيعية بين 0.06 – 0.10 ثانية.
HP:0006679	Granulomatous coronary arteritis	التهاب الشرايين التاجية الحبيبي	التهاب شرايين القلب	التهاب في الشرايين التاجية يتضمن استجابة حبيبية، وهي استجابة التهابية غير محددة تشمل الحبيبات، وهي تجمع منظم ومضغوط من الخلايا البلعمية الناضجة بما في ذلك الخلايا الطلائية والخلايا العملاقة.
HP:0006681	Absent atrioventricular node	غياب العقدة الأذينية البطينية	عدم وجود العقدة الأذينية البطينية	عدم تواجد العقدة الأذينية البطينية المسؤولة عن توجيه الإشارات الكهربائية بين الأذينين والبطينين.
HP:0006682	Premature ventricular contraction	انقباض بطيني مبكر	نبضة قلب إضافية	الانقباضات البطينية المبكرة (PVC) أو النبضات القلبية غير الطبيعية التي تنشأ استجابة لنبضة من البطينين بدلاً من النبضة الطبيعية من العقدة الجيبية الأذينية (SA).
HP:0100860	Dilatation of Inferior mesenteric artery	تمدد الشريان المساريقي السفلي	تمدد وعاء دموي في البطن	انتفاخ أو تمدد غير طبيعي يشبه الكيس في جدار الشريان المساريقي السفلي.
HP:0100861	Sclerotic vertebral body	تصلب جسم الفقرة	زيادة كثافة عظام العمود الفقري	زيادة في كثافة العظم في جسم الفقرة.
HP:0100862	Aplasia of the femoral head	عدم تنسج رأس الفخذ	غياب رأس عظم الفخذ	عدم تطور أو غياب كامل لرأس عظم الفخذ.
HP:0100863	Aplasia of the femoral neck	عدم تنسج عنق الفخذ	غياب عنق عظم الفخذ	عدم تكوين أو غياب كامل لعنق عظم الفخذ.
HP:0100864	Short femoral neck	قصر عنق الفخذ	عنق فخذ قصير	قصر غير طبيعي في عنق الفخذ والذي هو الجزء الذي يربط رأس الفخذ مع عمود الفخذ.
HP:0100865	Broad ischia	اتساع العظام الإسكية	اتساع عظام الحوض	زيادة في عرض العظم الإسكي، الذي يشكل الجزء السفلي والخلفي من عظم الورك.
HP:0100866	Short iliac bones	قصر عظام الحرقفة	قصر عظام الحوض	نقص في تكوين عظام الحرقفة.
HP:0100867	Duodenal stenosis	تضيق الإثني عشر	انسداد جزئي في الجزء الأول من الأمعاء	تضيق أو انسداد جزئي في جزء من الإثني عشر.
HP:0100869	Palmar telangiectasia	توسع الشعيرات الدموية في راحة اليد	عروق صغيرة مرئية في راحة اليد	وجود توسع في الشعيرات الدموية على جلد راحة اليد.
HP:0100870	Plantar telangiectasia	توسع الشعيرات الدموية الأخمصي	عروق صغيرة مرئية في باطن القدم	توسع الشعيرات الدموية الصغيرة الموجودة على جلد باطن القدم.
HP:0006694	Early progressive calcific cardiac valvular disease	أمراض صمامية قلبية تكليسية تقدمية مبكرة	تكلس صمامات القلب مبكراً	مرض يتطور بشكل مبكر ويتسبب في تكلس الصمامات القلبية.
